station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IND,2020-04-01 00:00,M,M,M,340.00,9.00,M,29.95,M,10.00,M,BKN,OVC,M,M,2200.00,4400.00,M,M,M,M,M,M,M,M,M,M,KIND 010000Z AUTO 34009KT 10SM BKN022 OVC044 04/03 A2995 RMK T00400030 MADISHF
IND,2020-04-01 00:05,M,M,M,330.00,10.00,M,29.95,M,10.00,M,BKN,OVC,M,M,2200.00,4400.00,M,M,M,M,M,M,M,M,M,M,KIND 010005Z AUTO 33010KT 10SM BKN022 OVC044 04/03 A2995 RMK T00400030 MADISHF
IND,2020-04-01 00:10,M,M,M,340.00,11.00,M,29.95,M,10.00,M,BKN,OVC,M,M,2200.00,4400.00,M,M,M,M,M,M,M,M,M,M,KIND 010010Z AUTO 34011KT 10SM BKN022 OVC044 04/03 A2995 RMK T00400030 MADISHF
IND,2020-04-01 00:15,M,M,M,340.00,10.00,M,29.94,M,10.00,M,BKN,OVC,M,M,2200.00,4400.00,M,M,M,M,M,M,M,M,M,M,KIND 010015Z AUTO 34010KT 10SM BKN022 OVC044 04/03 A2994 RMK T00400030 MADISHF
IND,2020-04-01 00:20,M,M,M,340.00,9.00,M,29.94,M,10.00,M,BKN,OVC,M,M,2200.00,4400.00,M,M,M,M,M,M,M,M,M,M,KIND 010020Z AUTO 34009KT 10SM BKN022 OVC044 05/03 A2994 RMK T00500030 MADISHF
IND,2020-04-01 00:25,M,M,M,340.00,9.00,M,29.95,M,10.00,M,BKN,OVC,M,M,2200.00,4400.00,M,M,M,M,M,M,M,M,M,M,KIND 010025Z AUTO 34009KT 10SM BKN022 OVC044 05/03 A2995 RMK T00500030 MADISHF
IND,2020-04-01 00:30,M,M,M,330.00,9.00,M,29.94,M,10.00,M,BKN,OVC,M,M,2200.00,4400.00,M,M,M,M,M,M,M,M,M,M,KIND 010030Z AUTO 33009KT 10SM BKN022 OVC044 05/03 A2994 RMK T00500030 MADISHF
IND,2020-04-01 00:34,41.00,37.90,88.62,330.00,9.00,0.00,29.94,M,10.00,M,FEW,BKN,OVC,M,2200.00,4400.00,7000.00,M,M,M,M,M,M,M,M,34.70,KIND 010034Z 33009KT 10SM FEW022 BKN044 OVC070 05/03 A2994 RMK AO2 T00500033
IND,2020-04-01 00:35,M,M,M,330.00,9.00,M,29.94,M,10.00,M,FEW,BKN,OVC,M,2200.00,4400.00,7000.00,M,M,M,M,M,M,M,M,M,KIND 010035Z AUTO 33009KT 10SM FEW022 BKN044 OVC070 05/03 A2994 RMK T00500030 MADISHF
IND,2020-04-01 00:40,M,M,M,340.00,7.00,M,29.95,M,10.00,M,FEW,BKN,OVC,M,2200.00,4400.00,7000.00,M,M,M,M,M,M,M,M,M,KIND 010040Z AUTO 34007KT 10SM FEW022 BKN044 OVC070 05/03 A2995 RMK T00500030 MADISHF
